RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
102001,0,United States,country,,1136.747271877584,1143.002519961801,1151.5660032685735,1160.2953305985982,1168.9046814771232,1176.3936889542747,1181.9479490751467,1185.4523066427255,1187.2956313159245,1187.6480965078342,1188.0266335315193,1188.4411211680385,1191.4076953433396,1196.0648635327352,1201.930438025665,1209.6819497966783,1217.6567552884808,1225.6687753694703,1230.0269828155292,1232.045080637423,1231.7943972297492,1230.4562208581606,1229.2544992577234,1228.6054126468193,1233.009333493094,1240.5395392095793,1251.7091515091095,1261.242338972538,1270.2581990820274,1277.1692615058269,1281.7333588838067,1283.1784793402037,1283.3688595683216,1281.7771021150188,1281.6196930021517,1282.4485191003034,1287.1291325662864,1294.321849409962,1303.5886435277082,1312.80924051709,1320.685564733399,1327.8958261166756,1332.9743961667482,1335.8917789584384,1335.0392080116708,1334.3731942053134,1335.0046764871224,1337.098151394013,1340.9979294607604,1346.770831349212,1356.7103158202458,1366.6128308416169,1376.2459053712068,1383.904720037866,1389.3464154691876,1392.018000669414,1391.525652918302,1389.973400964217,1388.8455186078954,1389.9991773834568,1394.873015284131,1402.7343696614148,1411.056812561153,1412.4590814489163,1412.393169246883,1413.3746056539915,1418.5984031580385,1420.0328856971062,1417.519350001727,1414.6038417028399,1413.0489208491176,1415.0554936913445,1423.0668063011694,1435.0977380379359,1450.2268389463052,1468.2620169057711,1492.2515454938466,1520.6084915447186,1550.163790409592,1577.6841400196054,1599.9247010101974,1613.8165237506241,1622.9955322997941,1631.9724277902546,1642.3803676335426,1656.7588070787492,1671.7413376018255,1691.272815738778,1711.2784921969696,1731.9728051872132,1749.0424335203443,1758.6499519353697,1760.5903509110503,1756.0242307134636,1750.1419518573407,1747.4736105013963,1749.4031004792882,1755.950212146927,1768.309871851744,1778.8997589505238,1790.6409021880486,1797.422801777552,1805.784689019644,1810.052343631955,1810.328270337608,1806.8184524179978,1801.6513849833864,1799.1777137089098,1802.1275233195545,1809.728920698124,1820.1422570399102,1830.7526095903106,1841.7791785717966,1851.4126450044769,1858.776590997637,1861.8774657172075,1861.6164161855195,1857.8238863897147,1854.3441446282955,1851.8900561874948,1855.9173122844181,1864.0210194426916,1875.848731532796,1886.0975509230607,1894.9182396576775,1901.444661778348,1905.0917626451471,1906.2366311458143,1904.9211380654024,1901.3104874999701,1895.6366615747252,1891.1402585971923,1892.4399228056184,1899.5819783796048,1910.4249941685812
394913,1,"New York, NY",msa,NY,2184.191044002795,2198.930167827691,2217.824384867924,2236.403117933255,2250.771612676724,2265.7126839305406,2275.86248846199,2285.7171180481696,2289.743879551458,2288.166072197646,2278.9573642992455,2269.8149193925115,2267.113264842759,2271.617389300053,2280.1609371752456,2292.537603632949,2307.020074795814,2321.6897436060913,2334.0205502678764,2337.8469250616376,2338.492666475672,2331.079861380988,2326.8684095181015,2315.285671937811,2312.260814442751,2313.01346689759,2325.125515561916,2339.4604268657235,2356.7434044144006,2370.616358909734,2380.666386576865,2382.9816176005797,2381.196787940649,2368.1044741152355,2353.374578322163,2340.5883049566364,2339.391687361571,2346.165366284538,2359.4179832975024,2378.3065364259933,2396.212065023309,2412.9990833474867,2424.9509017615896,2433.6183601876287,2433.8088795137887,2425.41589853341,2415.031972267267,2405.438387378274,2404.910277008372,2414.009061152143,2429.3947427146395,2446.7991626091407,2466.429857418493,2487.4987457039533,2502.631903781967,2509.938683765286,2508.2326347029725,2503.5702876400733,2491.017925896673,2484.3086161219003,2483.983096131977,2497.0431613743713,2505.8847115530584,2499.8271351198464,2484.852209811127,2463.334905931705,2440.0384160321246,2395.6609894649337,2345.6240746086164,2305.283888772211,2274.7021578111194,2261.9404781344897,2261.2854141413127,2275.4653285048853,2296.2984034757123,2322.533629492445,2364.774141416232,2417.102265328092,2477.7956072773013,2535.9156157705715,2583.4052875806547,2615.964454249048,2637.427812601173,2656.959383583397,2680.9738168969307,2712.3279653663267,2749.3467733416855,2788.6282141359084,2837.374128552241,2889.0714695224938,2935.098595793367,2961.959121588373,2966.056087027521,2952.285455757427,2927.3169676968337,2908.8585236102554,2907.154341758599,2920.3175130529867,2946.1260906211915,2977.2940056905722,3011.977527840984,3040.3489437555686,3061.054878441734,3070.64726082433,3069.9144263885196,3056.287912547409,3037.2661300318387,3025.3267425351883,3030.44858588326,3048.3536545623238,3076.0596085669467,3103.660078534019,3133.6543545827785,3160.42067092917,3176.7280753036366,3182.426122281764,3173.302717747052,3160.469389423764,3151.3118623911673,3147.441201151001,3157.344655627282,3174.1694092777907,3202.101188402823,3230.8179018263822,3258.714118051075,3290.5396947488994,3320.7031160627967,3341.252885587229,3338.7842214251586,3326.1537151194093,3305.460325230324,3293.3703847359957,3290.7768788690055,3308.0051123409803,3337.13988779536
753899,2,"Los Angeles, CA",msa,CA,1739.529368980063,1750.819968165413,1765.8835509866103,1780.75465635267,1795.5930174439275,1806.5962499636644,1819.2135194649845,1829.2001674402234,1839.2630762321737,1843.9942481541868,1848.8552933146025,1854.6406080384,1864.5749002937293,1874.8676399083483,1885.6939178529867,1895.9172535705577,1909.328689430679,1921.8714232079076,1933.9592098651299,1939.970800858032,1945.0806964189906,1945.957737042782,1948.3910438599341,1951.1370871187305,1964.6736560649722,1980.837537448154,2002.5634158343732,2016.1700759217467,2029.6500557508164,2038.2908303085278,2048.222395168335,2053.409963089244,2058.524025377967,2059.0124607164857,2063.220952192372,2067.588648467459,2078.4747848249162,2090.6339037486055,2101.0557538004214,2109.6212156338865,2117.155186141029,2128.8453519979807,2139.022280937977,2147.8336999361823,2151.5233352173964,2155.3687636346476,2160.7709495785725,2166.26125410207,2171.3980443423443,2175.1557116198937,2186.4885713236195,2197.0442237487196,2209.7012964140868,2218.844310837221,2227.19781904017,2232.571030338748,2235.485852832479,2237.0400321393513,2240.0256304526515,2243.94865117683,2251.497885235023,2256.31631330623,2256.313569978408,2245.110275346803,2235.869692338401,2231.448980261292,2233.6920445233163,2233.058399846557,2231.602318421453,2231.7393690271433,2233.2348952349316,2233.4451385480907,2243.659000660689,2254.7219010039857,2269.3988745990478,2280.4003058360154,2299.256319754001,2332.752335355982,2376.433556495709,2426.9491994181635,2465.2621489522403,2489.898062677444,2504.0990006307757,2521.0070285703728,2539.9167684830077,2564.6862940368883,2589.0171331016004,2618.523591172076,2642.547177014981,2666.0641799145,2684.907786122247,2699.1890953619854,2704.509728368643,2699.770568326356,2694.3371471457835,2687.2988065105055,2686.753006927254,2691.0702967764587,2705.1779999721375,2715.3819899959153,2725.09746224138,2732.1498060449867,2745.029541408706,2754.968372893712,2757.9345939033096,2755.0150038968436,2745.7244153186293,2740.4859712827656,2744.2746874685213,2754.444101522289,2767.063861474777,2775.888908346433,2786.767356143398,2798.2136359422457,2810.204747429588,2816.771025952667,2820.981084399864,2817.8856612860727,2813.327281449682,2806.985258635027,2825.8374062028115,2847.7325858989425,2871.3437396936024,2873.0435142945253,2878.6342189190364,2884.341554869644,2888.500950287875,2890.075155720729,2889.810115512298,2886.7950633640294,2879.898972489488,2870.937038331127,2873.470853695023,2880.684895908335,2894.901157378155
394463,3,"Chicago, IL",msa,IL,1374.2561314945226,1381.5879114463528,1391.5463913833114,1401.0070232477783,1410.8266220428814,1420.4003712073,1424.8965166666055,1427.4874003872856,1422.327161596979,1415.2422287980332,1408.7476093923894,1409.357040465613,1417.5849983859625,1426.8317583770354,1438.114242367341,1445.5810431924049,1454.2256385727076,1461.5360887156214,1467.6120620179204,1470.7384189894444,1464.0796215885812,1454.6436796968635,1443.2061041031775,1437.675303320064,1443.5322862822923,1457.0536978028733,1475.5370984143913,1489.0134931658272,1500.5132288179723,1506.4871624138389,1508.2311752817473,1503.6830474568444,1497.928029759583,1487.1731921470875,1480.6517773480257,1478.257115742245,1486.623430669735,1498.0514511316976,1510.8281008011895,1521.8554125842961,1532.0239533730207,1541.115902423997,1545.4046028550474,1542.7124045835196,1532.0613029470014,1520.7934481195625,1514.4106060760516,1515.4001313861068,1524.1011371727075,1534.194578803434,1550.0457970709483,1563.5673822277524,1576.139962449633,1582.930515303899,1585.49095087141,1584.5702170805791,1579.3322738779375,1572.625967902025,1565.632374143988,1560.8333490103403,1569.632507068119,1581.5137936081007,1596.7163423392087,1597.8527974000804,1597.3067709565348,1595.001787824529,1594.6852415231845,1589.4028053271381,1575.1415360305562,1554.8346399250813,1538.439240847426,1532.2732185616524,1535.797325465305,1546.7267281726524,1562.895717919316,1587.3098243607506,1613.2847759263086,1638.0948946958017,1656.890405699491,1669.4171599596264,1676.8215038626217,1676.144518799235,1676.8008842723618,1682.2196874628562,1695.6437615707268,1711.2462130917297,1730.9752659229925,1754.8068116128327,1780.2229505800324,1800.3199077592628,1815.881886412015,1823.207219922823,1824.3304640996032,1819.984662468488,1814.9083357432369,1815.586971546502,1823.0134609745508,1837.7394373290076,1855.814873597493,1874.5990634924722,1895.58744647617,1912.9709062212437,1924.9042415701115,1930.9728303050083,1927.6450645592279,1920.2788836411728,1913.3295101117633,1915.547799175782,1924.9934058615354,1940.0197483576208,1955.3326044782782,1974.5619747463302,1991.3663212608774,2007.6335839065387,2016.9813831807705,2020.73010022652,2019.4721244279672,2017.4486888504512,2016.3935651325955,2019.368079793736,2027.9629409975096,2045.120918426774,2064.9745603312463,2087.2061937350168,2107.4256074532595,2126.6640043578245,2137.955169924122,2142.0521742458764,2140.2039005698166,2134.356114675272,2129.1213441390823,2127.09717943636,2138.409167834363,2157.030612874318,2179.817593148377
394514,4,"Dallas, TX",msa,TX,1049.2203076276114,1053.9616151086575,1061.3393340945904,1072.4531055609039,1081.6578817942175,1089.6969560630453,1095.980869791558,1099.104702351091,1100.314901868848,1099.7414591088047,1100.56556933744,1102.310675078804,1104.3806458240138,1110.1075831228395,1117.9743952442896,1128.2599976973547,1136.487869557876,1143.562546357573,1148.0565083769618,1150.922251623283,1150.899207157677,1151.799460378695,1151.2903895246363,1152.0514562916726,1157.057566081752,1163.1223284219282,1175.2203906940365,1183.7982373577909,1195.9138806013686,1202.096327361641,1206.6118464059177,1207.6999796871442,1206.812719627311,1204.818168902324,1206.523959277475,1206.908918158873,1211.0719536295608,1216.7577100117223,1223.8458561030332,1231.5422567869462,1236.5122444025958,1244.2897562966925,1247.7684992051022,1248.5885535897721,1245.608043726542,1248.243358518841,1249.6897864343907,1252.7096315269491,1254.2441079909179,1258.375633240393,1268.40891945626,1277.1698476386034,1285.6815111488982,1292.1743403897724,1294.819324492733,1296.4598556841659,1295.163024946704,1295.0948669162237,1293.461441240507,1290.8375729281404,1292.5907641239294,1298.2386077623883,1306.112547285492,1307.337982766885,1307.2805779781013,1308.1671019868065,1311.9175106896932,1315.4118959441164,1317.0650209431285,1319.3079507171244,1320.2127954431921,1323.6754105146529,1331.5849258612814,1343.1722931789752,1355.2165659957018,1372.3617646345479,1395.3044665010739,1426.4885713811743,1458.0422224318847,1487.9915702150217,1509.5666169679696,1522.7570413604863,1532.687660147887,1542.0409913380302,1553.1674427817659,1565.1516957292017,1578.1862066601109,1596.3801045279029,1617.6764023908665,1644.6554282622283,1664.2515214077462,1671.086636596135,1665.3698707952296,1651.4853420004367,1641.3723524276224,1633.8748786230294,1633.5528732340806,1636.1623753214478,1647.1506680436655,1651.7272363657055,1659.3768159768438,1661.0452141904182,1667.919750790351,1667.8446107144487,1663.5284217091928,1654.9673632435654,1647.0275441949498,1638.4483773464735,1635.0679020725427,1634.2202564274305,1638.2640693988767,1643.6574219904612,1650.284997014996,1656.6954523291586,1660.393745966319,1660.542187577586,1654.8409568911047,1648.0083456056082,1638.8569638921467,1631.8471190638545,1629.563653810484,1634.9840961343548,1645.9670360146047,1656.9598871333162,1663.0139745548547,1665.1288786288742,1663.359462520659,1659.9293363104518,1654.7476578219168,1648.2484831395227,1641.725612034529,1635.817920756564,1633.5927065522744,1637.2843206176308,1644.5378592547602
394692,5,"Houston, TX",msa,TX,1188.1813843857715,1191.6585309982806,1198.105836885249,1208.9350659416993,1218.2144151279738,1226.356061232189,1227.580082380864,1228.6128373690642,1226.3284975183508,1223.4026828100011,1219.8840874824016,1216.8500809728127,1217.255759662499,1219.1574234328814,1224.5150573994422,1229.0077475585963,1232.2029917141315,1233.8814972861976,1233.0782376413852,1230.4866580475439,1224.972009532201,1221.1366760993658,1215.6523289330091,1213.6344397610333,1214.4968500745097,1222.290499097074,1230.400875649055,1235.7734819410036,1243.3142492064153,1244.8888419046332,1245.0220301486106,1239.9730885393906,1246.9119785380624,1254.660156554607,1264.9704045579272,1269.7726005727138,1272.848647012438,1279.1668571616567,1281.4485740959637,1288.3231927109218,1290.505144310449,1295.2388282060238,1295.1206616909035,1293.425529720568,1289.9814547779156,1290.1662452874775,1292.531522211017,1292.165798325498,1292.543243388699,1290.9327044836893,1297.7707089149421,1303.203992164648,1312.0770362356823,1317.685588407011,1321.1525908935148,1320.4049119318652,1317.2624937638811,1316.030552290702,1315.8755158475144,1319.0436083687548,1322.0150209935618,1327.626457698433,1332.9609670059533,1330.1685266680013,1324.6776621512338,1320.7535749187807,1325.0608099726726,1330.3184430801261,1330.4178813139154,1332.0146850754797,1333.1233638420888,1333.7638645369934,1338.0068060631595,1340.5768774092508,1350.1121940046435,1362.1461409696144,1382.756866460415,1408.9268964281332,1433.7006075651132,1456.5074425923835,1468.7145357758081,1475.2809224638615,1477.8195271241573,1481.7715437345466,1487.5287371151833,1497.8254059634594,1508.5266766231273,1522.231483491621,1533.7405424660521,1548.8813549212198,1559.8876442333335,1566.1612740700564,1563.2781975372443,1557.2531195739805,1549.4193879570894,1547.0414824234508,1549.2172242895244,1557.2517440111226,1568.8968146998031,1575.5729853998328,1584.448851274309,1591.2957103882775,1597.8145037008512,1598.8055403210105,1593.6203178547923,1587.974063895288,1582.0924674648502,1580.4148243565164,1581.7573846267967,1586.307835269256,1590.4211767331008,1598.2310104589335,1606.6583844556003,1615.2871924699416,1619.6899263530513,1622.5403913239509,1622.705778148592,1620.4674057474265,1615.0289614361004,1611.5588965958184,1610.9697670102196,1615.259410472417,1623.7936033613594,1630.0705271685833,1633.6471344131592,1628.4616103197156,1629.9935531492545,1628.884269130159,1630.1526418736273,1624.0419462372868,1617.272771663087,1612.615652953136,1610.2994398092324,1608.7243682985436,1609.7651824097259
395209,6,"Washington, DC",msa,VA,1667.7139756081967,1674.8091469739777,1686.4404074978252,1694.5454426469744,1702.946726899088,1709.5149264329605,1713.6239993328209,1711.2758929981587,1710.75019650458,1706.053716067223,1705.5665438251515,1700.523620080108,1704.115549638242,1708.0099725325658,1717.201083801401,1724.16094484441,1731.8790828784342,1737.9660940197236,1742.3467163793418,1744.0838077334658,1740.1964403996526,1734.7987329997777,1729.1398696649132,1726.8278591706369,1732.025981245938,1744.0354128390952,1757.2271840501883,1768.2581696485659,1774.6645972178135,1782.1139825094513,1784.6985618385472,1784.424282482738,1782.1138645549681,1777.6701310157725,1773.0689222979809,1769.9944322758429,1773.6013738892677,1779.9883488037349,1791.912816978448,1803.0347956225626,1813.6752804856776,1821.9727995350017,1827.161311585536,1831.846843664272,1826.7108221888316,1824.4904249453823,1823.8319573762542,1829.226757156452,1833.9065096706283,1841.3995612171307,1851.8767678017869,1863.159114996562,1873.3355170403129,1880.9418725201708,1885.7859325906297,1886.8769764558822,1887.0155173787964,1881.796737000249,1876.234918780363,1876.4336262614415,1884.2071153865475,1892.699780271763,1903.0839135699168,1903.4025773330861,1902.556859167288,1896.628045247841,1895.562356043795,1891.6118950647974,1878.9933481490668,1861.7889569599179,1842.2297255297487,1831.0310059841424,1833.6825361006547,1842.2264853950085,1853.2466792913888,1867.7078125287223,1894.6041579451514,1931.7285967646142,1968.0076527030433,1998.292746122338,2016.3927839178568,2026.047488107225,2026.6644536990582,2026.1321872266778,2028.040500739074,2039.1630700770775,2057.193107163756,2080.72628905691,2105.7086690475635,2131.207708929502,2155.051327910471,2166.163959911822,2166.241733879804,2150.082393833804,2133.954543650194,2120.644253298911,2122.292080767344,2134.357297417153,2158.63373431413,2174.2283842374245,2192.0531448635384,2203.1100299256145,2219.633251420808,2229.0834423740976,2230.7802774396214,2226.640352328015,2218.235137405689,2211.123623467283,2214.3069422048557,2228.334454624398,2248.5900460399034,2267.9706797397644,2288.0897553507257,2308.2656545052178,2324.3007786328417,2330.985714865357,2328.633890419093,2319.376265291332,2309.3688683244172,2303.0346718113638,2311.4061506446565,2327.6113154724744,2349.4539706541805,2363.02348655472,2371.67671564395,2376.2349469394035,2375.412319535949,2371.319840987998,2361.075163849046,2347.3977713978543,2331.0519027294044,2320.124567399474,2321.3172854546674,2332.46908880089,2346.928710141152
394974,7,"Philadelphia, PA",msa,PA,1181.7788214597176,1188.6276446681395,1201.0253066358616,1207.4961872944482,1213.4269375246117,1216.4954018524813,1218.8075425313905,1219.1463521603584,1218.1912716566842,1216.9345305539478,1213.268217433038,1210.5763870380977,1211.832090094259,1219.5996916542395,1228.736674792149,1237.8669696159589,1244.390985863332,1251.6124174684867,1252.649203419816,1252.5620874141925,1248.861867567408,1247.372723587494,1248.6042581288912,1249.6027236792374,1254.1483924211334,1260.5526909717878,1271.6794153278777,1280.3749757227529,1285.8778344909817,1286.9930032560464,1287.4982046553391,1287.208528568252,1286.4851640101472,1286.1537009072663,1285.4130067053939,1287.7710190590283,1290.5498435148572,1299.0270530825921,1310.2252133952575,1320.0093150423445,1328.1130511404394,1331.5533190468057,1332.4635037747134,1331.0849819837051,1328.9993108030433,1330.4630056169178,1334.0752799301097,1335.3914241911157,1339.855400697608,1346.1144882566905,1359.51496778019,1370.7490514415174,1378.1214752984815,1385.5484060286158,1389.076754551367,1389.0605432424363,1385.242937171751,1383.689601123076,1383.648670273682,1385.6027340097485,1389.0987780420212,1400.2313695919568,1412.2084503729068,1417.5843224314558,1418.7392428777928,1419.9365014582747,1425.3931971325012,1425.1360335166753,1423.797040459144,1422.4069212663085,1423.466035133932,1426.0977942078498,1431.9501853036418,1440.5696451370354,1450.1039801979562,1465.4434334352227,1486.6552715883247,1507.845201597248,1525.8692889038923,1540.8663877100566,1548.8063304815519,1557.541621000464,1565.9446883040234,1581.5817632129965,1592.6768502423627,1603.7876520503053,1614.8167401797232,1629.0310907354453,1643.846171309515,1658.087382633707,1669.287293459723,1673.7564329136098,1673.3968900861591,1668.0287140740309,1665.4404705184193,1662.7834992348046,1667.203680291462,1670.6870442819338,1683.713588948751,1693.5712750128066,1706.1507301357174,1711.1059109630833,1718.195481463395,1723.1538253791387,1727.5752345856918,1728.1024317211618,1725.9738489301876,1723.953081983487,1725.8766476879441,1734.7854961105459,1745.239675796936,1755.9514045102364,1765.4286268707644,1774.2866207587665,1780.3885414323988,1784.0852261437187,1786.0391713795232,1788.000663431954,1790.177821638134,1794.3366014710268,1799.125833016303,1804.4076703514863,1808.0784217438334,1813.6740065999566,1820.3802721097657,1829.0970692947647,1841.8110178415182,1847.8550332116904,1852.5085497246198,1850.608559104183,1849.4545959383413,1849.7675031915824,1851.949206874407,1862.1847533758937,1868.832651986005
394856,8,"Miami, FL",msa,FL,1466.7094228266967,1472.2560596244814,1477.9022948088464,1484.6753813444118,1493.2855416584396,1501.543694979196,1510.4617629167913,1517.7795480645193,1528.8734416639884,1536.3888717874659,1545.601718619678,1548.5694821266775,1552.2901283226074,1553.5725017339241,1555.950544853344,1557.3240071536923,1556.9484883426342,1557.3589118190187,1559.246056024562,1562.0081239797985,1567.076236621044,1569.8182951421222,1573.534296047595,1572.312882546612,1577.325535470583,1580.7384537352912,1588.920341079784,1591.0261827548752,1593.6124424478035,1596.3365977876247,1601.5157136160824,1608.724777549902,1615.425989307997,1620.773664028636,1621.9377244700067,1623.0614036652617,1624.9151922336594,1627.6579246200477,1631.2443439165488,1635.224796984304,1639.460227010097,1644.6128648136496,1649.845334402344,1656.5634578260954,1661.5843056328283,1668.6437263020819,1674.7237984897276,1679.92652560009,1679.0135918790968,1677.6816192596452,1678.0319455082338,1681.2443556869005,1686.2868649121942,1690.48676706078,1695.502861201164,1699.294786412523,1705.3733367734146,1714.881914848616,1725.4154784765853,1731.8461170890234,1733.5823233570443,1735.9982566026401,1737.2081872170963,1731.313870972377,1722.7084018241835,1721.1695107152593,1726.5924116557521,1731.7637306867905,1737.26842292571,1749.7330390235038,1767.7500118760706,1783.5957124761828,1799.205706515714,1821.499869833995,1849.78017923061,1883.2092627405632,1922.1060343616416,1971.4330605892062,2036.1089914391437,2099.8983164914416,2157.266696761377,2198.43099622694,2242.51315111015,2287.8697078223754,2329.197175347559,2361.9492580170163,2397.249073050509,2438.016801286192,2477.871850976584,2505.0434139620747,2524.6655971017826,2532.285741016213,2539.910519362413,2542.491459522886,2548.512078152848,2551.5266502461627,2552.64892050542,2554.4823225538935,2560.0637165355115,2565.9209601472917,2572.0183551750415,2575.036674602057,2578.8470926587624,2582.9873468550627,2587.189654108701,2594.0995448639906,2595.935252565598,2591.28774369207,2589.8903660956594,2595.321049194035,2605.6445252156254,2613.204583967893,2616.9327033497675,2621.053357436365,2626.7190687225966,2631.579186523999,2636.900702769195,2637.277201014915,2636.35240525643,2634.818496613407,2636.5577878219033,2641.3432699294112,2647.2938781176567,2650.9948764333067,2653.3814744556043,2654.8440497449765,2656.552214055918,2657.2888199794975,2656.1347627962423,2654.9114569088924,2653.8819282006725,2652.1136275626836,2651.386464249601,2655.8901810898783,2665.174338661885
394347,9,"Atlanta, GA",msa,GA,988.1340788129642,992.6782163445846,995.9325326891169,1005.6574222371363,1013.6553747290914,1024.5939589890554,1030.0774430527376,1033.0568839978412,1033.4078002857818,1034.2707671321964,1035.1167751189105,1038.9113328119217,1042.5039386897633,1049.0412548154484,1055.6918080606245,1063.0284439057502,1072.1128158554839,1081.0199262787614,1089.4677691107447,1093.069434386235,1093.2433948198543,1093.7282783908786,1094.2362917536734,1096.519020645914,1100.0971730687738,1107.8783149496185,1118.613319091289,1130.5059473956057,1142.6553896356577,1152.865136329445,1161.1812543046797,1164.0360576452608,1166.0436822938711,1163.0523197230696,1165.1855629592753,1166.4394630493032,1173.5469166128835,1181.1727290002923,1192.2149854312781,1203.5910328495947,1214.5729097885708,1223.2432069695938,1228.8242415609934,1230.438003158742,1229.8548514570423,1235.4453883709339,1240.7461966374135,1246.3488920503894,1250.909134957731,1257.8324426492504,1269.8960637157982,1281.0969456892535,1292.0265416808156,1300.2601812582272,1304.6684951982404,1308.3151596205416,1310.1323379289433,1308.6477496276036,1305.7492225036724,1305.7114854079377,1310.3958018647625,1318.2827776904496,1326.8220059299524,1331.5591413774455,1336.1915341142974,1343.513225829553,1357.7370120813075,1371.220584670364,1379.453152038756,1384.6164921405477,1388.945434388162,1395.8545357526064,1409.8342643372764,1427.5946319783689,1445.9340478878628,1466.8983510887017,1493.3991996462398,1530.814821533557,1570.3133691575906,1611.115582926561,1641.487087841417,1659.859164758971,1665.967295876636,1666.568037089649,1669.2025633728247,1673.9252825915476,1685.692733461548,1698.6559677545679,1718.7657037078243,1738.2235415849302,1760.1201041605414,1771.1552362423674,1772.5548477082707,1762.142220416941,1750.501345439763,1745.171582583788,1742.6458715007,1747.2919899944507,1759.0135870641905,1767.2434755041238,1773.885936801924,1773.4521734990578,1778.113809348188,1776.7622799467645,1772.8072493196569,1760.869259157722,1748.7453006490173,1739.0905626954232,1741.55683004884,1750.7384256887428,1757.847773805454,1763.471309269236,1768.8513728168216,1776.218679149172,1781.0671484882148,1780.6430338172734,1780.3534060077227,1774.0360886973253,1767.3241373220321,1760.5816725096577,1765.0007554218275,1777.5174249613435,1789.824751198902,1797.2100477123358,1801.4980932247452,1806.1885847168671,1813.6011130279992,1819.5186117540015,1823.394218546272,1818.9076006900698,1810.7057090738772,1802.0467940440683,1802.6056639629005,1805.457057801371,1811.3570402502407
